,Date,Day,Timestamp,Speed,NetworkMode,RSRP,RSRQ,SNR,CQI,RSSI,DL_bitrate,UL_bitrate,State
0,2019.11.29,,09.37.23,0,5G,-84,-12,5.0,15,-67,313,53,D
1,2019.11.29,,09.37.23,0,5G,-83,-14,9.0,15,-67,35,8,D
2,2019.11.29,,09.37.24,1,5G,-83,-14,9.0,15,-69,35,8,D
3,2019.11.29,,09.37.24,1,5G,-83,-14,9.0,15,-69,39,17,D
5,2019.11.29,,09.37.26,1,5G,-85,-14,15.0,15,-69,295,77,D
6,2019.11.29,,09.37.27,1,5G,-85,-12,7.0,14,-66,1591,201,D
7,2019.11.29,,09.37.29,1,5G,-85,-12,7.0,14,-66,620,15,D
8,2019.11.29,,09.37.30,1,5G,-83,-11,4.0,14,-66,626,118,D
9,2019.11.29,,09.37.31,1,5G,-83,-11,4.0,14,-66,250,63,D
10,2019.11.29,,09.37.32,1,5G,-84,-11,3.0,14,-66,88,52,D
12,2019.11.29,,09.37.34,1,5G,-83,-11,2.0,14,-66,5236,161,D
13,2019.11.29,,09.37.35,1,5G,-83,-11,2.0,14,-66,8458,264,D
14,2019.11.29,,09.37.36,1,5G,-82,-10,7.0,14,-66,10081,163,D
15,2019.11.29,,09.37.37,1,5G,-82,-10,7.0,14,-61,2518,66,D
16,2019.11.29,,09.37.39,1,5G,-78,-10,12.0,14,-61,11047,175,D
17,2019.11.29,,09.37.40,1,5G,-78,-10,12.0,12,-65,4501,119,D
18,2019.11.29,,09.37.41,1,5G,-82,-8,15.0,15,-63,22325,420,D
19,2019.11.29,,09.37.42,1,5G,-82,-8,15.0,11,-61,5233,1640,D
20,2019.11.29,,09.37.43,1,5G,-77,-12,13.0,11,-61,8713,175,D
21,2019.11.29,,09.37.44,1,5G,-77,-12,13.0,11,-59,6272,115,D
22,2019.11.29,,09.37.45,1,5G,-79,-10,16.0,14,-62,5327,87,D
23,2019.11.29,,09.37.46,1,5G,-79,-10,16.0,14,-62,6437,138,D
24,2019.11.29,,09.37.47,1,5G,-82,-9,13.0,14,-70,9227,171,D
25,2019.11.29,,09.37.49,1,5G,-82,-9,13.0,14,-70,3245,63,D
26,2019.11.29,,09.37.50,1,5G,-82,-9,17.0,13,-59,2992,65,D
27,2019.11.29,,09.37.51,1,5G,-82,-9,17.0,13,-59,8481,149,D
28,2019.11.29,,09.37.52,1,5G,-80,-9,15.0,11,-65,3590,52,D
29,2019.11.29,,09.37.53,1,5G,-80,-9,15.0,14,-62,286,14,D
30,2019.11.29,,09.37.54,1,5G,-79,-10,12.0,15,-62,2217,30,D
32,2019.11.29,,09.37.56,1,5G,-82,-8,12.0,15,-64,49,27,D
33,2019.11.29,,09.37.58,1,5G,-82,-8,12.0,15,-66,1356,31,D
35,2019.11.29,,09.38.00,1,5G,-82,-9,7.0,12,-66,280,10,D
36,2019.11.29,,09.38.01,1,5G,-76,-10,6.0,15,-62,756,16,D
37,2019.11.29,,09.38.02,1,5G,-76,-10,6.0,15,-57,280,10,D
39,2019.11.29,,09.38.04,1,5G,-79,-11,14.0,15,-60,1393,32,D
40,2019.11.29,,09.38.05,1,5G,-81,-9,17.0,15,-58,276,8,D
42,2019.11.29,,09.38.08,1,5G,-73,-10,28.0,12,-64,1618,22,D
44,2019.11.29,,09.38.10,1,5G,-74,-9,19.0,13,-59,1975,30,D
45,2019.11.29,,09.38.11,1,5G,-74,-9,19.0,13,-67,278,9,D
46,2019.11.29,,09.38.12,50,5G,-74,-9,19.0,15,-62,278,9,D
48,2019.11.29,,09.38.13,50,5G,-81,-9,12.0,15,-66,277,8,D
49,2019.11.29,,09.38.14,50,5G,-88,-12,-2.0,15,-70,714,15,D
50,2019.11.29,,09.38.16,50,5G,-88,-12,-2.0,11,-73,282,11,D
51,2019.11.29,,09.38.17,50,5G,-90,-11,0.0,11,-76,2913,46,D
52,2019.11.29,,09.38.18,50,5G,-90,-11,0.0,12,-78,280,10,D
53,2019.11.29,,09.38.19,57,5G,-90,-11,0.0,12,-72,280,10,D
55,2019.11.29,,09.38.20,57,5G,-90,-11,14.0,13,-77,1063,27,D
56,2019.11.29,,09.38.21,57,5G,-92,-9,19.0,12,-75,274,10,D
58,2019.11.29,,09.38.23,57,5G,-94,-9,16.0,14,-73,1283,23,D
60,2019.11.29,,09.38.26,57,5G,-90,-10,14.0,11,-110,281,7,D
61,2019.11.29,,09.38.26,57,5G,-90,-10,14.0,11,-110,281,7,D
64,2019.11.29,,09.38.29,57,5G,-91,-8,15.0,15,-75,278,10,D
66,2019.11.29,,09.38.31,57,5G,-91,-9,6.0,15,-72,282,11,D
67,2019.11.29,,09.38.32,57,5G,-91,-9,7.0,15,-79,2359,34,D
68,2019.11.29,,09.38.33,55,5G,-91,-9,7.0,15,-79,2359,34,D
69,2019.11.29,,09.38.34,55,5G,-91,-9,7.0,12,-75,278,10,D
71,2019.11.29,,09.38.36,55,5G,-89,-9,13.0,9,-110,2837,28,D
72,2019.11.29,,09.38.37,55,5G,-95,-11,10.0,9,-110,278,10,D
74,2019.11.29,,09.38.39,55,5G,-89,-10,7.0,10,-72,2899,414,D
75,2019.11.29,,09.38.40,58,5G,-89,-10,7.0,13,-110,2899,414,D
77,2019.11.29,,09.38.41,58,5G,-90,-11,2.0,12,-73,281,10,D
79,2019.11.29,,09.38.44,58,5G,-94,-11,2.0,11,-78,282,9,D
80,2019.11.29,,09.38.45,58,5G,-94,-11,2.0,10,-76,1563,20,D
81,2019.11.29,,09.38.46,58,5G,-95,-11,3.0,15,-110,275,10,D
82,2019.11.29,,09.38.47,55,5G,-95,-11,3.0,15,-110,275,10,D
83,2019.11.29,,09.38.47,55,5G,-95,-11,3.0,15,-110,1584,23,D
84,2019.11.29,,09.38.48,55,5G,-96,-11,9.0,9,-80,280,10,D
86,2019.11.29,,09.38.50,55,5G,-96,-12,7.0,9,-80,1683,38,D
88,2019.11.29,,09.38.53,55,5G,-95,-12,0.0,9,-75,721,17,D
89,2019.11.29,,09.38.54,55,5G,-95,-12,0.0,6,-79,721,17,D
90,2019.11.29,,09.38.54,55,5G,-95,-12,0.0,6,-79,167,9,D
91,2019.11.29,,09.38.55,55,5G,-96,-14,-1.0,10,-77,278,11,D
92,2019.11.29,,09.38.56,55,5G,-96,-14,-1.0,14,-83,507,26,D
93,2019.11.29,,09.38.57,55,5G,-96,-12,2.0,6,-81,379,11,D
94,2019.11.29,,09.38.58,55,5G,-96,-12,2.0,8,-79,284,11,D
96,2019.11.29,,09.39.02,53,5G,-92,-9,20.0,13,-73,279,7,D
97,2019.11.29,,09.39.03,53,5G,-92,-9,20.0,13,-73,1155,29,D
99,2019.11.29,,09.39.05,53,5G,-92,-9,8.0,13,-73,2811,67,D
101,2019.11.29,,09.39.07,53,5G,-93,-11,13.0,14,-71,280,12,D
104,2019.11.29,,09.39.10,53,5G,-93,-10,16.0,10,-76,802,23,D
106,2019.11.29,,09.39.12,53,5G,-93,-14,11.0,11,-80,282,11,D
107,2019.11.29,,09.39.13,53,5G,-95,-10,9.0,10,-110,2226,44,D
109,2019.11.29,,09.39.15,53,5G,-93,-8,17.0,11,-75,286,8,D
110,2019.11.29,,09.39.16,53,5G,-93,-8,17.0,11,-75,1009,19,D
111,2019.11.29,,09.39.17,53,5G,-94,-9,10.0,14,-77,277,10,D
113,2019.11.29,,09.39.20,53,5G,-94,-10,13.0,14,-77,1966,41,D
116,2019.11.29,,09.39.23,53,5G,-95,-8,1.0,13,-77,586,21,D
117,2019.11.29,,09.39.24,53,5G,-90,-13,17.0,14,-73,282,11,D
118,2019.11.29,,09.39.25,53,5G,-90,-13,17.0,14,-73,3989,79,D
120,2019.11.29,,09.39.27,53,5G,-90,-7,16.0,14,-73,282,10,D
122,2019.11.29,,09.39.30,53,5G,-91,-7,25.0,15,-75,284,11,D
123,2019.11.29,,09.39.31,53,5G,-92,-9,18.0,15,-75,578,17,D
124,2019.11.29,,09.39.32,53,5G,-92,-9,18.0,14,-110,279,10,D
125,2019.11.29,,09.39.33,53,5G,-90,-8,20.0,11,-77,3232,65,D
127,2019.11.29,,09.39.35,53,5G,-95,-9,13.0,14,-110,284,11,D
129,2019.11.29,,09.39.37,53,5G,-94,-11,9.0,14,-77,3180,59,D
130,2019.11.29,,09.39.39,53,5G,-94,-11,9.0,14,-77,68,14,D
131,2019.11.29,,09.39.40,53,5G,-90,-9,11.0,14,-75,308,870,D
132,2019.11.29,,09.39.41,53,5G,-90,-9,11.0,14,-73,276,10,D
134,2019.11.29,,09.39.43,53,5G,-91,-11,9.0,15,-68,1399,26,D
135,2019.11.29,,09.39.44,53,5G,-89,-10,6.0,15,-110,281,13,D
136,2019.11.29,,09.39.45,53,5G,-89,-10,6.0,15,-110,703,7,D
137,2019.11.29,,09.39.46,53,5G,-88,-8,2.0,15,-110,281,7,D
138,2019.11.29,,09.39.48,53,5G,-88,-8,2.0,15,-70,944,27,D
140,2019.11.29,,09.39.50,53,5G,-88,-9,12.0,14,-71,281,10,D
141,2019.11.29,,09.39.51,53,5G,-85,-8,9.0,14,-71,2774,49,D
143,2019.11.29,,09.39.53,53,5G,-92,-9,11.0,15,-75,281,10,D
145,2019.11.29,,09.39.55,53,5G,-83,-12,18.0,11,-69,1472,29,D
147,2019.11.29,,09.39.58,53,5G,-90,-8,16.0,14,-71,278,11,D
148,2019.11.29,,09.39.59,53,5G,-90,-8,16.0,15,-69,1161,45,D
149,2019.11.29,,09.40.00,53,5G,-88,-10,11.0,15,-72,1634,40,D
150,2019.11.29,,09.40.01,53,5G,-88,-10,11.0,15,-72,280,10,D
152,2019.11.29,,09.40.03,53,5G,-90,-15,20.0,15,-72,283,10,D
153,2019.11.29,,09.40.04,53,5G,-92,-12,13.0,15,-74,1021,15,D
154,2019.11.29,,09.40.06,53,5G,-92,-12,13.0,15,-72,274,9,D
155,2019.11.29,,09.40.07,53,5G,-89,-11,16.0,15,-72,1351,30,D
156,2019.11.29,,09.40.08,53,5G,-89,-11,16.0,15,-72,281,10,D
158,2019.11.29,,09.40.10,53,5G,-88,-13,16.0,15,-72,1811,41,D
160,2019.11.29,,09.40.12,53,5G,-89,-10,13.0,15,-72,279,9,D
161,2019.11.29,,09.40.13,53,5G,-89,-11,11.0,15,-72,3232,49,D
163,2019.11.29,,09.40.16,53,5G,-89,-13,3.0,15,-72,277,10,D
165,2019.11.29,,09.40.18,53,5G,-89,-10,14.0,15,-72,1151,10,D
166,2019.11.29,,09.40.19,53,5G,-89,-10,14.0,15,-72,279,10,D
167,2019.11.29,,09.40.20,53,5G,-89,-11,14.0,15,-72,1315,29,D
168,2019.11.29,,09.40.21,53,5G,-89,-11,14.0,15,-72,281,10,D
170,2019.11.29,,09.40.23,53,5G,-89,-11,7.0,15,-72,280,10,D
171,2019.11.29,,09.40.25,53,5G,-89,-14,11.0,15,-72,3513,51,D
172,2019.11.29,,09.40.26,53,5G,-89,-14,11.0,15,-72,280,10,D
174,2019.11.29,,09.40.28,53,5G,-88,-14,4.0,15,-72,284,11,D
175,2019.11.29,,09.40.29,53,5G,-88,-10,7.0,15,-72,1658,33,D
176,2019.11.29,,09.40.30,53,5G,-88,-10,7.0,15,-72,277,9,D
178,2019.11.29,,09.40.32,53,5G,-88,-11,6.0,14,-77,2207,25,D
181,2019.11.29,,09.40.36,53,5G,-91,-8,12.0,14,-73,1840,35,D
182,2019.11.29,,09.40.37,53,5G,-91,-8,12.0,14,-73,279,10,D
183,2019.11.29,,09.40.38,53,5G,-90,-8,4.0,15,-75,44,17,D
184,2019.11.29,,09.40.39,53,5G,-90,-8,4.0,15,-72,1828,134,D
185,2019.11.29,,09.40.40,53,5G,-92,-8,16.0,15,-72,17,1,D
186,2019.11.29,,09.40.41,53,5G,-92,-8,16.0,14,-75,280,9,D
187,2019.11.29,,09.40.43,53,5G,-90,-8,11.0,10,-73,1848,22,D
188,2019.11.29,,09.40.44,53,5G,-90,-8,11.0,10,-73,281,10,D
189,2019.11.29,,09.40.45,53,5G,-90,-10,5.0,10,-73,659,20,D
191,2019.11.29,,09.40.47,53,5G,-91,-8,15.0,10,-73,281,8,D
192,2019.11.29,,09.40.48,53,5G,-91,-8,15.0,15,-77,1335,21,D
193,2019.11.29,,09.40.49,53,5G,-92,-9,18.0,15,-75,278,10,D
194,2019.11.29,,09.40.50,53,5G,-92,-9,18.0,15,-78,1311,23,D
195,2019.11.29,,09.40.52,53,5G,-94,-8,18.0,15,-73,281,10,D
197,2019.11.29,,09.40.54,53,5G,-94,-9,16.0,15,-75,1692,31,D
199,2019.11.29,,09.40.56,53,5G,-92,-9,18.0,12,-76,2138,42,D
201,2019.11.29,,09.40.58,53,5G,-90,-8,13.0,15,-74,284,10,D
204,2019.11.29,,09.41.01,16,5G,-92,-9,15.0,15,-74,356,14,D
205,2019.11.29,,09.41.02,16,5G,-92,-9,15.0,15,-74,281,10,D
206,2019.11.29,,09.41.03,16,5G,-86,-7,23.0,15,-72,277,9,D
207,2019.11.29,,09.41.04,16,5G,-86,-7,23.0,15,-110,1764,18,D
208,2019.11.29,,09.41.05,16,5G,-87,-8,13.0,12,-70,280,9,D
210,2019.11.29,,09.41.07,16,5G,-87,-8,17.0,12,-70,281,9,D
211,2019.11.29,,09.41.08,16,5G,-87,-8,17.0,12,-70,1686,29,D
212,2019.11.29,,09.41.10,16,5G,-87,-8,17.0,12,-70,276,9,D
214,2019.11.29,,09.41.12,16,5G,-88,-12,17.0,12,-70,2145,34,D
215,2019.11.29,,09.41.13,16,5G,-88,-12,17.0,15,-73,280,9,D
217,2019.11.29,,09.41.15,16,5G,-90,-9,15.0,15,-71,2906,47,D
219,2019.11.29,,09.41.17,16,5G,-88,-9,19.0,15,-71,278,9,D
221,2019.11.29,,09.41.20,16,5G,-90,-8,18.0,15,-73,2206,31,D
224,2019.11.29,,09.41.23,16,5G,-89,-7,18.0,15,-69,280,8,D
226,2019.11.29,,09.41.25,16,5G,-87,-7,23.0,15,-71,275,9,D
227,2019.11.29,,09.41.26,16,5G,-87,-7,23.0,15,-71,1886,25,D
228,2019.11.29,,09.41.27,16,5G,-93,-11,10.0,15,-77,280,10,D
231,2019.11.29,,09.41.30,43,5G,-94,-11,17.0,15,-77,1526,31,D
233,2019.11.29,,09.41.32,43,5G,-86,-7,27.0,15,-72,278,8,D
235,2019.11.29,,09.41.34,43,5G,-89,-8,19.0,15,-70,2701,42,D
237,2019.11.29,,09.41.37,43,5G,-86,-10,21.0,15,-70,280,8,D
241,2019.11.29,,09.41.40,39,5G,-84,-14,19.0,15,-70,312,851,D
242,2019.11.29,,09.41.41,39,5G,-89,-8,19.0,14,-72,2116,36,D
244,2019.11.29,,09.41.43,39,5G,-86,-7,12.0,15,-70,278,8,D
245,2019.11.29,,09.41.44,39,5G,-86,-7,12.0,15,-70,1091,21,D
246,2019.11.29,,09.41.45,39,5G,-91,-8,24.0,15,-70,280,9,D
250,2019.11.29,,09.41.49,49,5G,-87,-9,17.0,15,-80,3271,51,D
252,2019.11.29,,09.41.51,49,5G,-89,-14,20.0,15,-70,280,8,D
253,2019.11.29,,09.41.52,49,5G,-89,-9,15.0,15,-74,504,13,D
254,2019.11.29,,09.41.53,49,5G,-89,-9,15.0,15,-74,280,10,D
255,2019.11.29,,09.41.54,56,5G,-89,-9,15.0,15,-74,280,10,D
257,2019.11.29,,09.41.55,56,5G,-90,-11,22.0,15,-76,1964,30,D
259,2019.11.29,,09.41.58,56,5G,-92,-10,13.0,13,-110,276,10,D
261,2019.11.29,,09.42.00,56,5G,-89,-9,19.0,14,-72,2360,30,D
262,2019.11.29,,09.42.01,56,5G,-89,-9,19.0,14,-72,2360,30,D
263,2019.11.29,,09.42.01,56,5G,-88,-7,18.0,14,-72,276,10,D
265,2019.11.29,,09.42.03,56,5G,-89,-8,17.0,14,-72,1712,28,D
267,2019.11.29,,09.42.06,56,5G,-91,-10,14.0,12,-74,277,10,D
268,2019.11.29,,09.42.07,56,5G,-91,-10,14.0,12,-74,1387,18,D
269,2019.11.29,,09.42.09,53,5G,-90,-7,18.0,14,-74,2180,37,D
271,2019.11.29,,09.42.11,53,5G,-91,-9,21.0,14,-74,280,9,D
272,2019.11.29,,09.42.12,53,5G,-92,-7,19.0,15,-76,1414,21,D
273,2019.11.29,,09.42.13,53,5G,-92,-7,19.0,15,-78,276,8,D
276,2019.11.29,,09.42.16,52,5G,-95,-8,18.0,11,-110,1250,27,D
278,2019.11.29,,09.42.18,52,5G,-96,-7,17.0,12,-80,280,6,D
279,2019.11.29,,09.42.19,52,5G,-97,-8,13.0,12,-80,1726,35,D
281,2019.11.29,,09.42.21,52,5G,-100,-9,15.0,12,-83,279,10,D
282,2019.11.29,,09.42.22,56,5G,-100,-9,15.0,12,-86,279,10,D
283,2019.11.29,,09.42.22,56,5G,-100,-9,15.0,12,-86,1521,17,D
284,2019.11.29,,09.42.23,56,5G,-104,-8,10.0,12,-86,276,8,D
286,2019.11.29,,09.42.26,56,5G,-106,-8,14.0,9,-91,1445,26,D
289,2019.11.29,,09.42.29,56,5G,-109,-8,10.0,14,-110,280,10,D
290,2019.11.29,,09.42.30,46,5G,-109,-8,10.0,14,-110,280,10,D
291,2019.11.29,,09.42.30,46,5G,-107,-10,9.0,14,-110,963,15,D
292,2019.11.29,,09.42.31,46,5G,-107,-10,9.0,14,-110,280,12,D
294,2019.11.29,,09.42.33,46,5G,-109,-9,9.0,9,-92,714,21,D
296,2019.11.29,,09.42.36,46,5G,-109,-10,5.0,10,-94,281,13,D
299,2019.11.29,,09.42.38,55,5G,-111,-10,7.0,10,-91,1271,21,D
300,2019.11.29,,09.42.39,55,5G,-109,-10,5.0,9,-93,281,10,D
301,2019.11.29,,09.42.40,55,5G,-109,-10,5.0,9,-93,1617,921,D
302,2019.11.29,,09.42.41,55,LTE,-106,-9,3.0,0,-94,282,11,D
304,2019.11.29,,09.42.44,55,LTE,-108,-12,3.0,11,-91,1172,60,D
305,2019.11.29,,09.42.45,55,LTE,-108,-12,3.0,11,-91,770,40,D
306,2019.11.29,,09.42.45,61,LTE,-108,-12,3.0,11,-91,770,40,D
307,2019.11.29,,09.42.46,61,LTE,-106,-15,-6.0,11,-91,317,10,D
308,2019.11.29,,09.42.47,61,LTE,-106,-15,-6.0,11,-91,1932,76,D
309,2019.11.29,,09.42.48,61,LTE,-101,-13,-1.0,8,-85,106,2,D
310,2019.11.29,,09.42.49,61,LTE,-101,-13,-1.0,8,-85,858,30,D
311,2019.11.29,,09.42.50,61,LTE,-95,-12,5.0,6,-80,1014,19,D
312,2019.11.29,,09.42.51,59,LTE,-95,-12,5.0,6,-80,1014,19,D
314,2019.11.29,,09.42.52,59,LTE,-100,-12,13.0,9,-82,2555,51,D
315,2019.11.29,,09.42.54,59,LTE,-100,-12,13.0,10,-80,280,8,D
317,2019.11.29,,09.42.56,59,LTE,-92,-12,3.0,10,-110,281,3,D
318,2019.11.29,,09.42.57,59,LTE,-94,-10,3.0,4,-77,1385,26,D
319,2019.11.29,,09.42.58,44,LTE,-94,-10,3.0,10,-79,1385,26,D
320,2019.11.29,,09.42.58,44,LTE,-94,-10,3.0,10,-79,285,7,D
321,2019.11.29,,09.42.59,44,LTE,-100,-11,3.0,5,-81,1730,33,D
322,2019.11.29,,09.43.00,44,LTE,-100,-11,3.0,5,-81,279,7,D
324,2019.11.29,,09.43.03,44,LTE,-98,-10,5.0,10,-75,2726,57,D
325,2019.11.29,,09.43.04,44,LTE,-86,-9,22.0,9,-70,279,7,D
327,2019.11.29,,09.43.06,44,LTE,-91,-10,14.0,12,-74,280,10,D
328,2019.11.29,,09.43.07,44,LTE,-91,-10,14.0,12,-71,1493,29,D
329,2019.11.29,,09.43.08,47,LTE,-91,-10,14.0,12,-71,1493,29,D
330,2019.11.29,,09.43.08,47,LTE,-85,-11,7.0,12,-71,281,10,D
332,2019.11.29,,09.43.10,47,LTE,-89,-8,3.0,11,-110,279,10,D
333,2019.11.29,,09.43.12,47,LTE,-89,-8,3.0,11,-76,1456,24,D
335,2019.11.29,,09.43.14,47,LTE,-90,-11,12.0,11,-75,279,13,D
336,2019.11.29,,09.43.15,47,LTE,-92,-12,18.0,10,-78,284,11,D
337,2019.11.29,,09.43.16,48,LTE,-92,-12,18.0,5,-75,284,11,D
339,2019.11.29,,09.43.17,48,LTE,-98,-11,13.0,8,-80,1412,47,D
340,2019.11.29,,09.43.18,48,LTE,-98,-11,13.0,11,-77,55,32,D
341,2019.11.29,,09.43.19,48,LTE,-93,-9,-1.0,11,-110,280,11,D
342,2019.11.29,,09.43.21,48,LTE,-93,-9,-1.0,11,-110,872,18,D
343,2019.11.29,,09.43.22,48,LTE,-95,-10,3.0,7,-79,282,10,D
346,2019.11.29,,09.43.24,50,LTE,-94,-10,-1.0,12,-72,1320,25,D
348,2019.11.29,,09.43.26,50,LTE,-94,-8,18.0,10,-82,675,20,D
351,2019.11.29,,09.43.29,50,LTE,-94,-10,20.0,12,-74,283,10,D
354,2019.11.29,,09.43.32,59,LTE,-90,-11,15.0,12,-75,636,20,D
355,2019.11.29,,09.43.33,59,LTE,-91,-12,9.0,11,-110,88,6,D
358,2019.11.29,,09.43.36,59,LTE,-87,-7,11.0,8,-72,908,26,D
359,2019.11.29,,09.43.37,59,LTE,-92,-10,-4.0,11,-75,283,10,D
360,2019.11.29,,09.43.38,55,LTE,-92,-10,-4.0,11,-75,283,10,D
361,2019.11.29,,09.43.38,55,LTE,-92,-10,-4.0,13,-71,45,18,D
362,2019.11.29,,09.43.40,55,LTE,-92,-7,14.0,9,-76,309,868,D
363,2019.11.29,,09.43.41,55,LTE,-92,-7,14.0,10,-80,243,10,D
364,2019.11.29,,09.43.42,55,LTE,-101,-8,20.0,11,-83,267,2,D
365,2019.11.29,,09.43.43,55,LTE,-101,-8,20.0,11,-83,284,11,D
366,2019.11.29,,09.43.44,60,LTE,-101,-8,20.0,11,-74,284,11,D
368,2019.11.29,,09.43.45,60,LTE,-92,-8,17.0,12,-71,1222,25,D
369,2019.11.29,,09.43.46,60,LTE,-92,-9,14.0,9,-110,283,11,D
370,2019.11.29,,09.43.47,60,LTE,-92,-9,14.0,9,-110,284,10,D
372,2019.11.29,,09.43.50,60,LTE,-96,-9,15.0,9,-72,1336,27,D
373,2019.11.29,,09.43.51,53,LTE,-96,-9,15.0,9,-72,1336,27,D
375,2019.11.29,,09.43.52,53,LTE,-87,-9,8.0,6,-79,280,10,D
377,2019.11.29,,09.43.54,53,LTE,-92,-8,13.0,8,-79,1441,46,D
378,2019.11.29,,09.43.55,53,LTE,-92,-7,10.0,11,-75,278,8,D
380,2019.11.29,,09.43.58,53,LTE,-97,-10,10.0,10,-80,279,11,D
383,2019.11.29,,09.44.01,53,LTE,-94,-11,16.0,12,-77,283,11,D
385,2019.11.29,,09.44.03,53,LTE,-93,-8,11.0,12,-77,1186,33,D
387,2019.11.29,,09.44.06,53,LTE,-91,-7,16.0,15,-74,279,11,D
388,2019.11.29,,09.44.06,18,LTE,-91,-7,16.0,15,-74,279,11,D
390,2019.11.29,,09.44.08,18,LTE,-90,-6,16.0,15,-74,2224,39,D
391,2019.11.29,,09.44.09,18,LTE,-90,-8,20.0,15,-74,284,9,D
392,2019.11.29,,09.44.10,18,LTE,-90,-8,20.0,15,-74,1427,29,D
393,2019.11.29,,09.44.11,18,LTE,-88,-7,12.0,12,-110,276,9,D
395,2019.11.29,,09.44.14,18,LTE,-93,-6,15.0,11,-75,892,27,D
397,2019.11.29,,09.44.16,18,LTE,-91,-7,-6.0,11,-75,86,5,D
420,2019.11.29,,09.44.41,19,5G,-98,-10,-1.0,13,-80,56,535,D
482,2019.11.29,,09.45.46,32,5G,-101,-11,0.0,13,-110,39,21,D
485,2019.11.29,,09.45.50,32,5G,-104,-10,1.0,10,-94,27,1,D
541,2019.11.29,,09.46.51,34,5G,-105,-12,0.0,14,-82,785,225,D
542,2019.11.29,,09.46.52,34,5G,-104,-8,-1.0,14,-82,17518,383,D
543,2019.11.29,,09.46.53,34,5G,-104,-8,-1.0,14,-110,17542,308,D
544,2019.11.29,,09.46.54,34,5G,-103,-8,-1.0,14,-110,2573,50,D
545,2019.11.29,,09.46.55,34,5G,-103,-8,-1.0,14,-80,11015,152,D
546,2019.11.29,,09.46.57,34,5G,-102,-8,0.0,12,-82,10624,115,D
548,2019.11.29,,09.46.59,34,5G,-104,-8,-3.0,14,-110,14973,1783,D
549,2019.11.29,,09.47.00,34,5G,-104,-8,-3.0,14,-110,1009,14,D
550,2019.11.29,,09.47.01,34,5G,-104,-9,-1.0,14,-110,8234,96,D
551,2019.11.29,,09.47.02,34,5G,-104,-9,-1.0,14,-110,2382,16,D
552,2019.11.29,,09.47.03,34,5G,-103,-8,-3.0,15,-84,279,8,D
553,2019.11.29,,09.47.05,34,5G,-103,-8,-3.0,15,-84,6204,39,D
554,2019.11.29,,09.47.06,34,5G,-101,-8,-2.0,15,-84,276,6,D
555,2019.11.29,,09.47.07,34,5G,-101,-8,-2.0,15,-84,6581,32,D
556,2019.11.29,,09.47.08,34,5G,-100,-9,7.0,15,-77,6691,34,D
557,2019.11.29,,09.47.09,34,5G,-100,-9,7.0,14,-110,2009,14,D
559,2019.11.29,,09.47.11,34,5G,-89,-7,15.0,12,-85,279,4,D
560,2019.11.29,,09.47.12,34,5G,-97,-11,3.0,15,-94,1354,9,D
561,2019.11.29,,09.47.14,34,5G,-97,-11,3.0,15,-94,278,14,D
563,2019.11.29,,09.47.16,34,5G,-96,-8,3.0,15,-94,31,2,D
566,2019.11.29,,09.47.19,34,5G,-96,-8,2.0,15,-94,1729,28,D
567,2019.11.29,,09.47.21,34,5G,-96,-8,2.0,15,-110,306,6,D
568,2019.11.29,,09.47.22,34,5G,-95,-8,3.0,15,-110,249,14,D
569,2019.11.29,,09.47.23,34,5G,-95,-8,3.0,15,-110,2604,15,D
570,2019.11.29,,09.47.24,34,5G,-96,-8,4.0,15,-110,278,4,D
572,2019.11.29,,09.47.26,34,5G,-97,-8,4.0,15,-94,276,4,D
573,2019.11.29,,09.47.27,34,5G,-97,-8,4.0,15,-94,1518,8,D
574,2019.11.29,,09.47.28,34,5G,-96,-8,7.0,9,-93,278,4,D
577,2019.11.29,,09.47.32,34,5G,-98,-8,4.0,15,-94,278,1,D
578,2019.11.29,,09.47.33,34,5G,-97,-8,6.0,15,-94,1566,11,D
579,2019.11.29,,09.47.34,34,5G,-97,-8,6.0,15,-94,275,4,D
580,2019.11.29,,09.47.35,34,5G,-97,-8,4.0,15,-94,1599,12,D
582,2019.11.29,,09.47.38,34,5G,-97,-8,4.0,15,-94,278,4,D
583,2019.11.29,,09.47.39,34,5G,-97,-8,4.0,15,-94,1960,10,D
584,2019.11.29,,09.47.40,34,5G,-97,-9,5.0,15,-94,279,7,D
586,2019.11.29,,09.47.42,34,5G,-96,-9,6.0,15,-91,2214,13,D
590,2019.11.29,,09.47.47,34,5G,-96,-9,5.0,15,-93,2235,16,D
591,2019.11.29,,09.47.48,34,5G,-96,-9,5.0,15,-94,277,4,D
592,2019.11.29,,09.47.49,34,5G,-95,-9,5.0,15,-94,11,7,D
593,2019.11.29,,09.47.50,34,5G,-95,-9,5.0,15,-94,1437,8,D
594,2019.11.29,,09.47.51,34,5G,-96,-10,4.0,15,-94,277,4,D
596,2019.11.29,,09.47.53,34,5G,-95,-9,5.0,15,-94,281,12,D
597,2019.11.29,,09.47.55,34,5G,-95,-9,5.0,15,-94,13,49,D
598,2019.11.29,,09.47.56,34,5G,-95,-7,3.0,15,-94,12,37,D
599,2019.11.29,,09.47.57,34,5G,-95,-7,3.0,15,-94,12,37,D
600,2019.11.29,,09.47.58,34,5G,-95,-8,3.0,15,-78,2089,39,D
601,2019.11.29,,09.47.59,34,5G,-95,-8,3.0,15,-78,1389,26,D
